Time,34,Rajendra_nagar2,Rajendra_nagar1,Bademakan,Kesare,Rajiv_nagar_II,Veeranageeri,NR_mohalla2,NR_mohalla1,Rajiv_nagar_I,Tippu_park
0,50,50,50,50,50,50,50,50,50,50,50
1,53.194584,55.645916,56.713139,55.840652,55.726288,57.372074,53.694252,50.515186,61.262081,56.095104,55.56741
2,80.113045,65.538048,64.409737,62.729191,64.028877,63.033073,71.420898,67.069717,60.407982,64.382805,66.480293
3,89.198555,75.641403,73.801331,72.118988,73.826363,72.094307,83.934166,78.733047,74.5056,72.122246,76.809418
4,97.44809,85.316231,82.46653,78.564705,82.684158,80.082832,89.644508,84.82132,89.015434,86.254715,87.430763
5,104.157066,92.371704,88.386246,80.33326,88.552277,85.077293,100.671036,95.139877,99.274315,96.484467,95.172485
6,106.808517,92.507973,87.969177,73.204308,87.875313,84.131706,103.891838,98.113365,99.763443,95.99498,95.696327
7,96.032928,80.061897,76.834679,58.946449,74.798714,73.616997,91.575958,89.572685,81.38208,83.711548,83.311249
8,69.90963,60.357716,59.496792,70.50489,60.376968,57.374828,66.783745,63.394474,62.022091,61.627625,61.741848
9,55.759197,41.795834,42.818069,52.682587,41.454781,41.714348,42.344013,38.192726,43.11198,40.428776,40.396896
10,42.031345,29.62653,31.520168,38.424728,29.158205,30.815832,30.991865,29.748623,25.850561,28.778769,28.346876
11,43.460583,29.986921,30.57135,31.63732,28.706831,28.877827,34.105251,31.379562,27.679657,29.206543,29.055593
12,42.977245,30.135706,30.029568,28.714304,28.656624,27.915157,33.775333,33.164318,29.481361,29.259697,30.438377
13,45.021519,32.611721,31.665045,29.081108,30.734426,29.15292,37.943695,36.339592,33.361694,32.686543,33.363701
14,47.264305,35.063763,33.549103,30.462166,33.097702,30.807291,41.200829,39.039745,36.754562,35.887032,36.076576
15,48.192574,35.07214,33.652721,31.705791,33.569576,31.309355,40.304256,37.995857,35.948021,35.256622,36.025444
16,52.332699,39.755116,37.533371,35.172878,37.772209,34.599678,46.67392,43.429245,42.884499,42.127247,41.046368
17,54.693024,42.056866,39.481857,37.043499,39.698021,36.274136,49.893642,45.907177,46.225224,45.51923,43.491905
18,53.846027,42.068775,39.501282,36.597462,39.623093,36.208023,50.890842,46.486095,46.40419,45.669655,43.519547
19,48.554394,36.323792,34.827381,32.544823,34.643406,32.507935,41.519485,40.008717,37.619175,36.867416,37.235912
20,43.230629,30.522209,30.22838,28.322115,29.739841,28.914167,32.296467,33.713284,28.713694,28.015587,30.943897
21,42.494862,30.48192,30.412613,28.242382,29.656685,29.20039,33.620514,34.193073,28.467056,27.949656,30.741924
22,45.177284,32.606514,32.679554,30.300974,31.760553,31.479168,37.912582,36.402611,30.939953,30.933701,32.781528
23,49.507515,37.029156,37.039837,34.438004,36.133156,35.760975,46.451302,40.782986,36.464157,37.243042,37.163803
